#planteary terms
#l F D Omega me ve ea ma ju sa ur ne general_precession long_sin long_cos obl_sin obl_cos

0 0 0 0 0 0 3 -8 3 0 0 0 0 -19 -11 0 0
0 0 0 0 0 0 -3 8 -3 0 0 0 2 -4 0 0 2
0 0 0 0 0 0 1 0 -2 5 0 0 2 0 5 2 0
0 0 0 0 0 -8 12 0 0 0 0 0 2 -6 0 0 2
0 0 0 0 0 -8 12 0 0 0 0 0 0 -8 0 0 0
0 0 0 0 0 0 1 0 1 -2 0 0 0 -1 0 0 0
0 0 0 0 0 0 1 0 0 1 0 0 2 -14 0 0 6
0 0 0 0 0 0 0 2 0 0 0 0 0 6 0 0 0
0 0 0 0 0 0 0 2 0 0 0 0 2 -74 0 0 32
0 0 0 0 0 0 1 0 0 2 0 0 2 0 -3 -1 0
0 2 -2 1 0 -5 5 0 0 0 0 0 0 4 0 0 -2
0 0 0 0 0 0 1 0 1 0 0 0 0 8 11 0 0
0 0 0 0 0 0 1 0 1 0 0 0 1 0 3 2 0
0 0 0 0 0 0 1 0 1 0 0 0 2 -262 0 0 114
0 0 0 0 0 3 -6 0 0 0 0 0 0 0 -4 0 0
0 0 0 0 0 -3 6 0 0 0 0 0 1 -7 0 0 4
0 0 0 0 0 -3 6 0 0 0 0 0 2 0 -27 -12 0
0 0 0 0 0 0 -1 4 0 0 0 0 2 -19 -8 -4 8
0 0 0 0 0 -5 7 0 0 0 0 0 2 202 0 0 -87
0 0 0 0 0 -5 7 0 0 0 0 0 1 -8 35 19 5
0 1 -1 1 0 -5 6 0 0 0 0 0 0 0 4 2 0
0 0 0 0 0 5 -7 0 0 0 0 0 0 16 -5 0 0
0 2 -2 1 0 0 -1 0 1 0 0 0 0 5 0 0 -3
0 0 0 0 0 0 -1 0 1 0 0 0 0 0 -3 0 0
0 0 0 0 -1 0 3 0 0 0 0 0 2 1 0 0 0
0 0 0 0 0 0 1 0 2 0 0 0 2 -35 -48 -21 15
0 0 0 0 0 0 -2 6 0 0 0 0 2 -3 -5 -2 1
0 0 0 1 0 2 -2 0 0 0 0 0 0 6 0 0 -3
0 0 0 0 0 0 -6 9 0 0 0 0 2 3 0 0 -1
0 0 0 0 0 0 6 -9 0 0 0 0 0 0 -5 0 0
0 0 0 0 0 -2 2 0 0 0 0 0 1 12 55 29 -6
0 1 -1 1 0 -2 1 0 0 0 0 0 0 0 5 3 0
0 0 0 0 0 2 -2 0 0 0 0 0 0 -598 0 0 0
0 0 0 0 0 2 -2 0 0 0 0 0 1 -3 -13 -7 1
0 0 0 0 0 0 1 0 3 0 0 0 2 -5 -7 -3 2
0 0 0 0 0 0 -5 7 0 0 0 0 2 3 0 0 -1
0 0 0 0 0 0 5 -7 0 0 0 0 0 5 -7 0 0
0 0 0 1 0 -2 2 0 0 0 0 0 0 4 0 0 -2
0 0 0 0 0 0 4 -5 0 0 0 0 0 16 -6 0 0
0 0 0 0 0 1 -3 0 0 0 0 0 0 8 -3 0 0
0 0 0 0 0 -1 3 0 0 0 0 0 1 8 -31 -16 -4
0 1 -1 1 0 -1 2 0 0 0 0 0 0 0 3 1 0
0 0 0 0 0 -1 3 0 0 0 0 0 2 113 0 0 -49
0 0 0 0 0 -7 10 0 0 0 0 0 2 0 -24 -10 0
0 0 0 0 0 -7 10 0 0 0 0 0 1 4 0 0 -2
0 0 0 0 0 0 3 -3 0 0 0 0 0 27 0 0 0
0 0 0 0 0 -4 8 0 0 0 0 0 2 -3 0 0 1
0 0 0 0 0 -4 5 0 0 0 0 0 2 0 -4 -2 0
0 0 0 0 0 -4 5 0 0 0 0 0 1 5 0 0 -2
0 0 0 0 0 4 -5 0 0 0 0 0 0 0 -3 0 0
0 0 0 0 0 0 1 1 0 0 0 0 2 -13 0 0 6
0 0 0 0 0 0 -2 0 5 0 0 0 2 5 0 0 -2
0 0 0 0 0 0 0 3 0 0 0 0 2 -18 -10 -4 8
0 0 0 0 0 1 0 0 0 0 0 0 0 -4 -28 0 0
0 0 0 0 0 1 0 0 0 0 0 0 2 -5 6 3 2
0 0 0 0 0 -9 13 0 0 0 0 0 2 -3 0 0 1
0 0 0 0 0 0 -1 5 0 0 0 0 2 -5 -9 -4 2
0 0 0 0 0 0 -2 0 4 0 0 0 2 17 0 0 -7
0 0 0 0 0 0 2 0 -4 0 0 0 0 11 4 0 0
0 0 0 0 0 0 -2 7 0 0 0 0 2 0 -6 -2 0
0 0 0 0 0 0 2 0 -3 0 0 0 0 83 15 0 0
0 0 0 0 0 -2 5 0 0 0 0 0 1 -4 0 0 2
0 0 0 0 0 -2 5 0 0 0 0 0 2 0 -114 -49 0
0 0 0 0 0 -6 8 0 0 0 0 0 2 117 0 0 -51
0 0 0 0 0 -6 8 0 0 0 0 0 1 -5 19 10 2
0 0 0 0 0 6 -8 0 0 0 0 0 0 -3 0 0 0
0 0 0 1 0 0 2 0 -2 0 0 0 0 -3 0 0 2
0 0 0 0 0 0 -3 9 0 0 0 0 2 0 -3 -1 0
0 0 0 0 0 0 5 -6 0 0 0 0 0 3 0 0 0
0 0 0 0 0 0 5 -6 0 0 0 0 2 0 -6 -2 0
0 0 0 0 0 0 2 0 -2 0 0 0 0 393 3 0 0
0 0 0 0 0 0 2 0 -2 0 0 0 1 -4 21 11 2
0 0 0 0 0 0 2 0 -2 0 0 0 2 -6 0 -1 3
0 0 0 0 0 -5 10 0 0 0 0 0 2 -3 8 4 1
0 0 0 0 0 0 4 -4 0 0 0 0 0 8 0 0 0
0 0 0 0 0 0 4 -4 0 0 0 0 2 18 -29 -13 -8
0 0 0 0 0 -3 3 0 0 0 0 0 1 8 34 18 -4
0 0 0 0 0 3 -3 0 0 0 0 0 0 89 0 0 0
0 0 0 0 0 3 -3 0 0 0 0 0 1 3 12 6 -1
0 0 0 0 0 3 -3 0 0 0 0 0 2 54 -15 -7 -24
0 0 0 0 0 0 2 0 0 -3 0 0 0 0 3 0 0
0 0 0 0 0 0 -5 13 0 0 0 0 2 3 0 0 -1
0 0 0 0 0 0 2 0 -1 0 0 0 0 0 35 0 0
0 0 0 0 0 0 2 0 -1 0 0 0 2 -154 -30 -13 67
0 0 0 0 0 0 2 0 0 -2 0 0 0 15 0 0 0
0 0 0 0 0 0 2 0 0 -2 0 0 1 0 4 2 0
0 0 0 0 0 0 3 -2 0 0 0 0 0 0 9 0 0
0 0 0 0 0 0 3 -2 0 0 0 0 2 80 -71 -31 -35
0 0 0 0 0 0 2 0 0 -1 0 0 2 0 -20 -9 0
0 0 0 0 0 0 -6 15 0 0 0 0 2 11 5 2 -5
0 0 0 0 0 -8 15 0 0 0 0 0 2 61 -96 -42 -27
0 0 0 0 0 -3 9 -4 0 0 0 0 2 14 9 4 -6
0 0 0 0 0 0 2 0 2 -5 0 0 2 -11 -6 -3 5
0 0 0 0 0 0 -2 8 -1 -5 0 0 2 0 -3 -1 0
0 0 0 0 0 0 6 -8 3 0 0 0 2 123 -415 -180 -53
0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 -35
0 0 0 0 0 0 2 0 0 0 0 0 0 -5 0 0 0
0 0 0 0 0 0 2 0 0 0 0 0 1 7 -32 -17 -4
0 1 -1 1 0 0 1 0 0 0 0 0 0 0 -9 -5 0
0 0 0 0 0 0 2 0 0 0 0 0 1 0 -4 2 0
0 0 0 0 0 0 2 0 0 0 0 0 2 -89 0 0 38
0 0 0 0 0 0 -6 16 -4 -5 0 0 2 0 -86 -19 -6
0 0 0 0 0 0 -2 8 -3 0 0 0 2 0 0 -19 6
0 0 0 0 0 0 -2 8 -3 0 0 0 2 -123 -416 -180 53
0 0 0 0 0 0 6 -8 1 5 0 0 2 0 -3 -1 0
0 0 0 0 0 0 2 0 -2 5 0 0 2 12 -6 -3 -5
0 0 0 0 0 3 -5 4 0 0 0 0 2 -13 9 4 6
0 0 0 0 0 -8 11 0 0 0 0 0 2 0 -15 -7 0
0 0 0 0 0 -8 11 0 0 0 0 0 1 3 0 0 -1
0 0 0 0 0 -8 11 0 0 0 0 0 2 -62 -97 -42 27
0 0 0 0 0 0 11 0 0 0 0 0 2 -11 5 2 5
0 0 0 0 0 0 2 0 0 1 0 0 2 0 -19 -8 0
0 0 0 0 0 3 -3 0 2 0 0 0 2 -3 0 0 1
0 2 -2 1 0 0 4 -8 3 0 0 0 0 0 4 2 0
0 1 -1 0 0 0 1 0 0 0 0 0 0 0 3 0 0
0 2 -2 1 0 0 -4 8 -3 0 0 0 0 0 4 2 0
0 0 0 0 0 0 1 2 0 0 0 0 2 -85 -70 -31 37
0 0 0 0 0 0 2 0 1 0 0 0 2 163 -12 -5 -72
0 0 0 0 0 -3 7 0 0 0 0 0 2 -63 -16 -7 28
0 0 0 0 0 0 0 4 0 0 0 0 2 -21 -32 -14 9
0 0 0 0 0 -5 6 0 0 0 0 0 2 0 -3 -1 0
0 0 0 0 0 -5 6 0 0 0 0 0 1 3 0 0 -2
0 0 0 0 0 5 -6 0 0 0 0 0 0 0 8 0 0
0 0 0 0 0 5 -6 0 0 0 0 0 2 3 10 4 -1
0 0 0 0 0 0 2 0 2 0 0 0 2 3 0 0 -1
0 0 0 0 0 0 -1 6 0 0 0 0 2 0 -7 -3 0
0 0 0 0 0 0 7 -9 0 0 0 0 2 0 -4 -2 0
0 0 0 0 0 2 -1 0 0 0 0 0 0 6 19 0 0
0 0 0 0 0 2 -1 0 0 0 0 0 2 5 -173 -75 -2
0 0 0 0 0 0 6 -7 0 0 0 0 2 0 -7 -3 0
0 0 0 0 0 0 5 -5 0 0 0 0 2 7 -12 -5 -3
0 0 0 0 0 -1 4 0 0 0 0 0 1 -3 0 0 2
0 0 0 0 0 -1 4 0 0 0 0 0 2 3 -4 -2 -1
0 0 0 0 0 -7 9 0 0 0 0 0 2 74 0 0 -32
0 0 0 0 0 -7 9 0 0 0 0 0 1 -3 12 6 2
0 0 0 0 0 0 4 -3 0 0 0 0 2 26 -14 -6 -11
0 0 0 0 0 0 3 -1 0 0 0 0 2 19 0 0 -8
0 0 0 0 0 -4 4 0 0 0 0 0 1 6 24 13 -3
0 0 0 0 0 4 -4 0 0 0 0 0 0 83 0 0 0
0 0 0 0 0 4 -4 0 0 0 0 0 1 0 -10 -5 0
0 0 0 0 0 4 -4 0 0 0 0 0 2 11 -3 -1 -5
0 0 0 0 0 0 2 1 0 0 0 0 2 3 0 1 -1
0 0 0 0 0 0 -3 0 5 0 0 0 2 3 0 0 -1
0 0 0 0 0 1 1 0 0 0 0 0 0 -4 0 0 0
0 0 0 0 0 1 1 0 0 0 0 0 1 5 -23 -12 -3
0 0 0 0 0 1 1 0 0 0 0 0 2 -339 0 0 147
0 0 0 0 0 -9 12 0 0 0 0 0 2 0 -10 -5 0
0 0 0 0 0 0 3 0 -4 0 0 0 0 5 0 0 0
0 2 -2 1 0 1 -1 0 0 0 0 0 0 3 0 0 -1
0 0 0 0 0 0 7 -8 0 0 0 0 2 0 -4 -2 0
0 0 0 0 0 0 3 0 -3 0 0 0 0 18 -3 0 0
0 0 0 0 0 0 3 0 -3 0 0 0 2 9 -11 -5 -4
0 0 0 0 0 -2 6 0 0 0 0 0 2 -8 0 0 4
0 0 0 0 0 -6 7 0 0 0 0 0 1 3 0 0 -1
0 0 0 0 0 6 -7 0 0 0 0 0 0 0 9 0 0
0 0 0 0 0 0 6 -6 0 0 0 0 2 6 -9 -4 -2
0 0 0 0 0 0 3 0 -2 0 0 0 0 -4 -12 0 0
0 0 0 0 0 0 3 0 -2 0 0 0 2 67 -91 -39 -29
0 0 0 0 0 0 5 -4 0 0 0 0 2 30 -18 -8 -13
0 0 0 0 0 3 -2 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 3 -2 0 0 0 0 0 2 0 -114 -50 0
0 0 0 0 0 0 3 0 -1 0 0 0 2 0 0 0 23
0 0 0 0 0 0 3 0 -1 0 0 0 2 517 16 7 -224
0 0 0 0 0 0 3 0 0 -2 0 0 2 0 -7 -3 0
0 0 0 0 0 0 4 -2 0 0 0 0 2 143 -3 -1 -62
0 0 0 0 0 0 3 0 0 -1 0 0 2 29 0 0 -13
0 2 -2 1 0 0 1 0 -1 0 0 0 0 -4 0 0 2
0 0 0 0 0 -8 16 0 0 0 0 0 2 -6 0 0 3
0 0 0 0 0 0 3 0 2 -5 0 0 2 5 12 5 -2
0 0 0 0 0 0 7 -8 3 0 0 0 2 -25 0 0 11
0 0 0 0 0 0 -5 16 -4 -5 0 0 2 -3 0 0 1
0 0 0 0 0 0 3 0 0 0 0 0 2 0 4 2 0
0 0 0 0 0 0 -1 8 -3 0 0 0 2 -22 12 5 10
0 0 0 0 0 -8 10 0 0 0 0 0 2 50 0 0 -22
0 0 0 0 0 -8 10 0 0 0 0 0 1 0 7 4 0
0 0 0 0 0 -8 10 0 0 0 0 0 2 0 3 1 0
0 0 0 0 0 0 2 2 0 0 0 0 2 -4 4 2 2
0 0 0 0 0 0 3 0 1 0 0 0 2 -5 -11 -5 2
0 0 0 0 0 -3 8 0 0 0 0 0 2 0 4 2 0
0 0 0 0 0 -5 5 0 0 0 0 0 1 4 17 9 -2
0 0 0 0 0 5 -5 0 0 0 0 0 0 59 0 0 0
0 0 0 0 0 5 -5 0 0 0 0 0 1 0 -4 -2 0
0 0 0 0 0 5 -5 0 0 0 0 0 2 -8 0 0 4
0 0 0 0 0 2 0 0 0 0 0 0 0 -3 0 0 0
0 0 0 0 0 2 0 0 0 0 0 0 1 4 -15 -8 -2
0 0 0 0 0 2 0 0 0 0 0 0 2 370 -8 0 -160
0 0 0 0 0 0 7 -7 0 0 0 0 2 0 0 -3 0
0 0 0 0 0 0 7 -7 0 0 0 0 2 0 3 1 0
0 0 0 0 0 0 6 -5 0 0 0 0 2 -6 3 1 3
0 0 0 0 0 7 -8 0 0 0 0 0 0 0 6 0 0
0 0 0 0 0 0 5 -3 0 0 0 0 2 -10 0 0 4
0 0 0 0 0 4 -3 0 0 0 0 0 2 0 9 4 0
0 0 0 0 0 1 2 0 0 0 0 0 2 4 17 7 -2
0 0 0 0 0 -9 11 0 0 0 0 0 2 34 0 0 -15
0 0 0 0 0 -9 11 0 0 0 0 0 1 0 5 3 0
0 0 0 0 0 0 4 0 -4 0 0 0 2 -5 0 0 2
0 0 0 0 0 0 4 0 -3 0 0 0 2 -37 -7 -3 16
0 0 0 0 0 -6 6 0 0 0 0 0 1 3 13 7 -2
0 0 0 0 0 6 -6 0 0 0 0 0 0 40 0 0 0
0 0 0 0 0 6 -6 0 0 0 0 0 1 0 -3 -2 0
0 0 0 0 0 0 4 0 -2 0 0 0 2 -184 -3 -1 80
0 0 0 0 0 0 6 -4 0 0 0 0 2 -3 0 0 1
0 0 0 0 0 3 -1 0 0 0 0 0 0 -3 0 0 0
0 0 0 0 0 3 -1 0 0 0 0 0 1 0 -10 -6 -1
0 0 0 0 0 3 -1 0 0 0 0 0 2 31 -6 0 -13
0 0 0 0 0 0 4 0 -1 0 0 0 2 -3 -32 -14 1
0 0 0 0 0 0 4 0 0 -2 0 0 2 -7 0 0 3
0 0 0 0 0 0 5 -2 0 0 0 0 2 0 -8 -4 0
0 0 0 0 0 0 4 0 0 0 0 0 0 3 -4 0 0
0 0 0 0 0 8 -9 0 0 0 0 0 0 0 4 0 0
0 0 0 0 0 5 -4 0 0 0 0 0 2 0 3 1 0
0 0 0 0 0 2 1 0 0 0 0 0 2 19 -23 -10 2
0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 -10
0 0 0 0 0 2 1 0 0 0 0 0 1 0 3 2 0
0 0 0 0 0 -7 7 0 0 0 0 0 1 0 9 5 -1
0 0 0 0 0 7 -7 0 0 0 0 0 0 28 0 0 0
0 0 0 0 0 4 -2 0 0 0 0 0 1 0 -7 -4 0
0 0 0 0 0 4 -2 0 0 0 0 0 2 8 -4 0 -4
0 0 0 0 0 4 -2 0 0 0 0 0 0 0 0 -2 0
0 0 0 0 0 4 -2 0 0 0 0 0 0 0 3 0 0
0 0 0 0 0 0 5 0 -4 0 0 0 2 -3 0 0 1
0 0 0 0 0 0 5 0 -3 0 0 0 2 -9 0 1 4
0 0 0 0 0 0 5 0 -2 0 0 0 2 3 12 5 -1
0 0 0 0 0 3 0 0 0 0 0 0 2 17 -3 -1 0
0 0 0 0 0 -8 8 0 0 0 0 0 1 0 7 4 0
0 0 0 0 0 8 -8 0 0 0 0 0 0 19 0 0 0
0 0 0 0 0 5 -3 0 0 0 0 0 1 0 -5 -3 0
0 0 0 0 0 5 -3 0 0 0 0 0 2 14 -3 0 -1
0 0 0 0 0 -9 9 0 0 0 0 0 1 0 0 -1 0
0 0 0 0 0 -9 9 0 0 0 0 0 1 0 0 0 -5
0 0 0 0 0 -9 9 0 0 0 0 0 1 0 5 3 0
0 0 0 0 0 9 -9 0 0 0 0 0 0 13 0 0 0
0 0 0 0 0 6 -4 0 0 0 0 0 1 0 -3 -2 0
0 0 0 0 0 0 6 0 0 0 0 0 2 2 9 4 3
0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 -4
0 0 0 0 0 0 6 0 0 0 0 0 0 8 0 0 0
0 0 0 0 0 0 6 0 0 0 0 0 1 0 4 2 0
0 0 0 0 0 0 6 0 0 0 0 0 2 6 0 0 -3
0 0 0 0 0 0 6 0 0 0 0 0 0 6 0 0 0
0 0 0 0 0 0 6 0 0 0 0 0 1 0 3 1 0
0 0 0 0 0 0 6 0 0 0 0 0 2 5 0 0 -2
0 0 0 0 0 0 0 0 0 0 0 0 2 3 0 0 -1
1 0 -2 0 0 0 2 0 -2 0 0 0 0 -3 0 0 0
1 0 -2 0 0 2 -2 0 0 0 0 0 0 6 0 0 0
1 0 -2 0 0 0 1 0 -1 0 0 0 0 7 0 0 0
1 0 -2 0 0 1 -1 0 0 0 0 0 0 -4 0 0 0
-1 0 0 0 0 3 -3 0 0 0 0 0 0 4 0 0 0
-1 0 0 0 0 0 2 0 -2 0 0 0 0 6 0 0 0
-1 0 2 0 0 0 4 -8 3 0 0 0 0 0 -4 0 0
1 0 -2 0 0 0 4 -8 3 0 0 0 0 0 -4 0 0
-2 0 2 0 0 0 4 -8 3 0 0 0 0 5 0 0 0
-1 0 0 0 0 0 2 0 -3 0 0 0 0 -3 0 0 0
-1 0 0 0 0 0 1 0 -1 0 0 0 0 4 0 0 0
-1 0 0 0 0 1 -1 0 0 0 0 0 0 -5 0 0 0
-1 0 2 0 0 2 -2 0 0 0 0 0 0 4 0 0 0
1 -1 1 0 0 0 1 0 0 0 0 0 0 0 3 0 0
-1 0 2 0 0 0 2 0 -3 0 0 0 0 13 0 0 0
-2 0 0 0 0 0 2 0 -3 0 0 0 0 21 11 0 0
1 0 0 0 0 0 4 -8 3 0 0 0 0 0 -5 0 0
-1 1 -1 1 0 0 -1 0 0 0 0 0 0 0 -5 -2 0
1 1 -1 1 0 0 -1 0 0 0 0 0 0 0 5 3 0
-1 0 0 0 0 0 4 -8 3 0 0 0 0 0 -5 0 0
-1 0 2 1 0 0 2 0 -2 0 0 0 0 -3 0 0 2
0 0 0 0 0 0 2 0 -2 0 0 0 0 20 10 0 0
-1 0 2 0 0 0 2 0 -2 0 0 0 0 -34 0 0 0
-1 0 2 0 0 3 -3 0 0 0 0 0 0 -19 0 0 0
1 0 -2 1 0 0 -2 0 2 0 0 0 0 3 0 0 -2
1 2 -2 2 0 -3 3 0 0 0 0 0 0 -3 0 0 1
1 2 -2 2 0 0 -2 0 2 0 0 0 0 -6 0 0 3
1 0 0 0 0 1 -1 0 0 0 0 0 0 -4 0 0 0
1 0 0 0 0 0 1 0 -1 0 0 0 0 3 0 0 0
0 0 -2 0 0 2 -2 0 0 0 0 0 0 3 0 0 0
0 0 -2 0 0 0 1 0 -1 0 0 0 0 4 0 0 0
0 2 0 2 0 -2 2 0 0 0 0 0 0 3 0 0 -1
0 2 0 2 0 0 -1 0 1 0 0 0 0 6 0 0 -3
0 2 0 2 0 -1 1 0 0 0 0 0 0 -8 0 0 3
0 2 0 2 0 -2 3 0 0 0 0 0 0 0 3 1 0
0 0 2 0 0 0 2 0 -2 0 0 0 0 -3 0 0 0
0 1 1 2 0 0 1 0 0 0 0 0 0 0 -3 -2 0
1 2 0 2 0 0 1 0 0 0 0 0 0 126 -63 -27 -55
-1 2 0 2 0 10 -3 0 0 0 0 0 0 -5 0 1 2
0 1 1 1 0 0 1 0 0 0 0 0 0 -3 28 15 2
1 2 0 2 0 0 1 0 0 0 0 0 0 5 0 1 -2
0 2 0 2 0 0 4 -8 3 0 0 0 0 0 9 4 1
0 2 0 2 0 0 -4 8 -3 0 0 0 0 0 9 4 -1
-1 2 0 2 0 0 -4 8 -3 0 0 0 0 -126 -63 -27 55
2 2 -2 2 0 0 -2 0 3 0 0 0 0 3 0 0 -1
1 2 0 1 0 0 -2 0 3 0 0 0 0 21 -11 -6 -11
0 1 1 0 0 0 1 0 0 0 0 0 0 0 -4 0 0
-1 2 0 1 0 0 1 0 0 0 0 0 0 -21 -11 -6 11
-2 2 2 2 0 0 2 0 -2 0 0 0 0 -3 0 0 1
0 2 0 2 0 2 -3 0 0 0 0 0 0 0 3 1 0
0 2 0 2 0 1 -1 0 0 0 0 0 0 8 0 0 -4
0 2 0 2 0 0 1 0 -1 0 0 0 0 -6 0 0 3
0 2 0 2 0 2 -2 0 0 0 0 0 0 -3 0 0 1
-1 2 2 2 0 0 -1 0 1 0 0 0 0 3 0 0 -1
1 2 0 2 0 -1 1 0 0 0 0 0 0 -3 0 0 1
-1 2 2 2 0 0 2 0 -3 0 0 0 0 -5 0 0 2
2 2 0 2 0 0 2 0 -3 0 0 0 0 24 -12 -5 -11
1 2 0 2 0 0 -4 8 -3 0 0 0 0 0 3 1 0
1 2 0 2 0 0 4 -8 3 0 0 0 0 0 3 1 0
1 1 1 1 0 0 1 0 0 0 0 0 0 0 3 2 0
0 2 0 2 0 0 1 0 0 0 0 0 0 -24 -12 -5 10
2 2 0 1 0 0 1 0 0 0 0 0 0 4 0 -1 -2
-1 2 2 2 0 0 2 0 -2 0 0 0 0 13 0 0 -6
-1 2 2 2 0 3 -3 0 0 0 0 0 0 7 0 0 -3
1 2 0 2 0 1 -1 0 0 0 0 0 0 3 0 0 -1
0 2 2 2 0 0 2 0 -2 0 0 0 0 3 0 0 -1

